Tileposition,Tile,Rod,Family
2,51,126,CUxCU
7,53,130,CUxCU
3,54,130,CUxCU
13,55,124,CUxCU
8,56,147,CUxCU
2,57,144,CUxCU
7,58,128,CUxCU
5,59,125,CUxCU
2,60,141,CUxCU
7,61,133,CUxCU
10,62,135,CUxCU
10,63,133,CUxCU
3,64,134,CUxCU
10,65,136,CUxCU
9,66,132,CUxCU
4,67,136,CUxCU
6,68,135,CUxCU
3,69,137,CUxCU
5,70,111,CUxCU
5,71,112,CUxCU
7,72,113,CUxCU
3,73,77,CUxCU
16,74,74,CUxCU
8,75,73,CUxCU
14,76,72,CUxCU
7,77,75,CUxCU
10,78,76,CUxCU
8,79,145,CUxCU
10,80,126,CUxCU
1,81,143,CUxCU
8,82,123,CUxCU
5,83,127,CUxCU
4,84,145,CUxCU
1,85,128,CUxCU
9,86,140,CUxCU
8,87,137,CUxCU
5,88,147,CUxCU
10,89,138,CUxCU
7,90,138,CUxCU
6,91,146,CUxCU
4,92,144,CUxCU
7,93,87,CUxCU
4,94,149,CUxCU
8,95,142,CUxCU
8,96,148,CUxCU
10,97,139,CUxCU
6,98,90,CUxCU
5,99,140,CUxCU
7,100,134,CUxCU
13,101,149,CUxCU
3,102,89,CUxCU
13,103,151,CUxCU
11,104,150,CUxCU
4,105,150,CUxCU
3,106,146,CUxCU
7,107,143,CUxCU
5,108,141,CUxCU
5,109,142,CUxCU
7,110,88,CUxCU
1,1,109,CUxDR
12,2,110,CUxDR
4,3,113,CUxDR
6,4,112,CUxDR
4,5,121,CUxDR
5,6,119,CUxDR
6,7,120,CUxDR
7,8,117,CUxDR
10,9,114,CUxDR
7,10,116,CUxDR
4,11,118,CUxDR
1,12,122,CUxDR
3,13,115,CUxDR
3,14,111,CUxDR
1,15,105,CUxDR
4,16,87,CUxDR
5,17,98,CUxDR
2,18,103,CUxDR
10,19,86,CUxDR
6,20,107,CUxDR
2,21,88,CUxDR
4,22,83,CUxDR
10,23,78,CUxDR
2,24,91,CUxDR
6,25,80,CUxDR
8,26,84,CUxDR
11,27,82,CUxDR
4,28,100,CUxDR
6,29,85,CUxDR
7,30,101,CUxDR
5,31,72,CUxDR
9,32,77,CUxDR
1,33,74,CUxDR
10,34,81,CUxDR
11,35,76,CUxDR
12,36,73,CUxDR
13,37,75,CUxDR
12,38,79,CUxDR
8,39,94,CUxDR
7,40,102,CUxDR
5,41,106,CUxDR
5,42,96,CUxDR
4,43,108,CUxDR
8,44,99,CUxDR
13,45,104,CUxDR
8,46,95,CUxDR
12,47,97,CUxDR
1,48,90,CUxDR
4,49,92,CUxDR
5,50,89,CUxDR
14,51,93,CUxDR
8,56,147,CUxDR
8,96,148,CUxDR
1,1,104,DRxBK
3,2,100,DRxBK
11,3,95,DRxBK
1,4,103,DRxBK
14,5,98,DRxBK
5,6,105,DRxBK
7,7,99,DRxBK
14,8,92,DRxBK
6,9,96,DRxBK
4,10,97,DRxBK
1,11,102,DRxBK
6,12,93,DRxBK
11,13,94,DRxBK
1,14,76,DRxBK
2,15,74,DRxBK
16,16,73,DRxBK
7,17,77,DRxBK
15,18,75,DRxBK
3,19,72,DRxBK
16,21,78,DRxBK
16,28,79,DRxBK
9,30,83,DRxBK
9,31,88,DRxBK
1,32,80,DRxBK
1,33,91,DRxBK
4,34,84,DRxBK
6,35,87,DRxBK
4,36,101,DRxBK
1,37,85,DRxBK
12,39,89,DRxBK
4,40,109,DRxBK
2,41,107,DRxBK
14,42,106,DRxBK
1,43,108,DRxBK
11,54,81,DRxBK
4,55,82,DRxBK
9,56,86,DRxBK
7,57,90,DRxBK
13,1,88,DRxCU
5,2,92,DRxCU
14,3,90,DRxCU
8,4,87,DRxCU
3,5,97,DRxCU
16,6,86,DRxCU
15,7,95,DRxCU
13,8,89,DRxCU
7,9,94,DRxCU
1,10,98,DRxCU
4,11,91,DRxCU
14,12,83,DRxCU
9,13,80,DRxCU
6,14,75,DRxCU
9,15,85,DRxCU
16,16,81,DRxCU
14,17,74,DRxCU
14,18,77,DRxCU
9,19,72,DRxCU
7,20,73,DRxCU
7,21,84,DRxCU
13,22,82,DRxCU
1,23,78,DRxCU
9,24,76,DRxCU
6,25,79,DRxCU
11,26,96,DRxCU
9,27,99,DRxCU
10,28,103,DRxCU
11,29,104,DRxCU
12,30,107,DRxCU
2,31,109,DRxCU
5,32,108,DRxCU
13,33,101,DRxCU
10,34,100,DRxCU
16,35,93,DRxCU
14,36,102,DRxCU
14,37,105,DRxCU
4,38,106,DRxCU
5,1,128,DRxDR
7,2,126,DRxDR
4,3,130,DRxDR
14,4,123,DRxDR
10,5,124,DRxDR
3,6,126,DRxDR
3,7,129,DRxDR
4,8,131,DRxDR
6,9,127,DRxDR
2,10,128,DRxDR
1,11,123,DRxDR
8,12,132,DRxDR
7,13,129,DRxDR
8,14,125,DRxDR
4,15,127,DRxDR
2,17,108,DRxDR
14,18,147,DRxDR
1,19,115,DRxDR
12,20,147,DRxDR
2,21,118,DRxDR
1,22,120,DRxDR
6,23,117,DRxDR
13,24,146,DRxDR
11,25,114,DRxDR
12,26,145,DRxDR
9,27,119,DRxDR
11,28,113,DRxDR
4,29,116,DRxDR
11,30,146,DRxDR
6,31,145,DRxDR
6,32,143,DRxDR
5,33,146,DRxDR
15,36,Jazz,DRxDR
6,38,Jazz,DRxDR
7,39,Jazz,DRxDR
10,40,Jazz,DRxDR
11,42,Jazz,DRxDR
2,43,Jazz,DRxDR
8,44,Jazz,DRxDR
9,45,Jazz,DRxDR
